volume,curbweight,peakrpm,citympg,horsepower,fueltype_diesel,fueltype_gas,price
724074.876,3075,5000,19,97,0,1,16630.0
724074.876,3252,4150,28,95,1,0,17950.0
714090.1599999999,3130,5600,18,142,0,1,18150.0
509815.592,1918,5500,37,68,0,1,5572.0
509815.592,2128,5500,24,102,0,1,7957.0
507808.444,1967,5500,31,68,0,1,6229.0
542225.992,1989,5500,31,68,0,1,6692.0
542225.992,2191,5500,31,68,0,1,7609.0
674493.7679999999,2535,5000,24,88,0,1,8921.0
576454.632,2818,5000,19,145,0,1,12764.0
579100.674,2778,5500,19,143,0,1,22018.0
566490.6,2756,5900,17,207,0,1,32528.0
566490.6,2756,5900,17,207,0,1,34028.0
566490.6,2800,5900,17,207,0,1,37028.0
641507.0549999998,3366,5750,17,288,0,1,31400.5
666250.2000000001,2579,5100,23,90,0,1,9295.0
594631.4400000001,2460,5100,23,90,0,1,9895.0
696139.29,2658,5250,21,110,0,1,11850.0
696139.29,2695,5250,21,110,0,1,12170.0
696139.29,2707,5250,21,110,0,1,15040.0
696139.29,2758,5250,21,110,0,1,15510.0
696139.29,2808,5500,19,160,0,1,18150.0
696139.29,2847,5500,19,160,0,1,18620.0
534178.6020000001,2050,4900,31,69,0,1,5118.0
539279.028,2120,4400,26,73,0,1,7053.0
558990.718,2240,4400,26,73,0,1,7603.0
590562.0,2145,4800,32,82,0,1,7126.0
590562.0,2190,4400,28,82,0,1,7775.0
590562.0,2340,5200,26,94,0,1,9960.0
610809.8400000001,2385,4800,24,82,0,1,9233.0
610809.8400000001,2510,4800,24,111,0,1,11259.0
601385.7000000001,2290,4800,28,82,0,1,7463.0
601385.7000000001,2455,5200,25,94,0,1,10198.0
623303.856,2420,4800,23,82,0,1,8013.0
623303.856,2650,4800,23,111,0,1,11694.0
550085.94,1985,4800,35,62,0,1,5348.0
550085.94,2040,4800,31,62,0,1,6338.0
550085.94,2015,4800,31,62,0,1,6488.0
637861.572,2280,4800,31,62,0,1,6918.0
637861.572,2290,4800,27,62,0,1,7898.0
637861.572,3110,4800,27,62,0,1,8778.0
567615.1600000001,2081,4800,30,70,0,1,6938.0
565473.216,2109,4800,30,70,0,1,7198.0
567615.1600000001,2275,4500,34,56,1,0,7898.0
565473.216,2275,4500,38,56,1,0,7788.0
567615.1600000001,2094,4800,38,70,0,1,7738.0
565473.216,2122,4800,28,70,0,1,8358.0
565473.216,2140,4800,28,70,0,1,9258.0
567911.6799999999,2169,4800,29,70,0,1,8058.0
567911.6799999999,2204,4800,29,70,0,1,8238.0
567911.6799999999,2265,6600,26,112,0,1,9298.0
567911.6799999999,2300,6600,26,112,0,1,9538.0
601053.44,2540,4800,24,116,0,1,8449.0
601053.44,2536,4800,24,116,0,1,9639.0
601053.44,2551,4800,24,116,0,1,9989.0
601053.44,2679,4800,24,116,0,1,11199.0
601053.44,2714,4800,24,116,0,1,11549.0
612612.1599999998,2975,4800,24,116,0,1,17669.0
641089.2599999999,2326,4200,29,92,0,1,8948.0
641089.2599999999,2480,4500,30,73,1,0,10698.0
629411.86,2414,4200,27,92,0,1,9988.0
641089.2599999999,2414,4200,27,92,0,1,10898.0
629411.86,2458,4200,27,92,0,1,11248.0
645993.4,2976,5200,20,161,0,1,16558.0
645993.4,3016,5200,19,161,0,1,15998.0
675638.67,3131,5200,20,156,0,1,15690.0
675638.67,3151,5200,19,156,0,1,15750.0
626421.6950000001,2261,4800,37,52,1,0,7775.0
626421.6950000001,2209,5250,27,85,0,1,7975.0
626421.6950000001,2264,4800,37,52,1,0,7995.0
626421.6950000001,2212,5250,27,85,0,1,8195.0
626421.6950000001,2275,5250,27,85,0,1,8495.0
626421.6950000001,2319,4500,37,68,1,0,9495.0
626421.6950000001,2300,5500,26,100,0,1,9995.0
568624.5360000001,2254,5500,24,90,0,1,11595.0
545086.72,2221,5500,24,90,0,1,9980.0
664251.4380000001,2661,5500,19,110,0,1,13295.0
664251.4380000001,2579,4500,33,68,1,0,13845.0
674941.389,2563,5500,25,88,0,1,12290.0
713029.6320000001,2912,5400,23,114,0,1,12940.0
729523.2000000001,3034,5400,23,114,0,1,13415.0
713029.6320000001,2935,5400,24,114,0,1,15985.0
729523.2000000001,3042,5400,24,114,0,1,16515.0
713029.6320000001,3045,5100,17,162,0,1,18420.0
729523.2000000001,3157,5100,17,162,0,1,18950.0
721961.7600000001,2952,5400,23,114,0,1,16845.0
720913.92,3049,5300,19,160,0,1,19045.0
721961.7600000001,3012,5500,18,134,0,1,21485.0
721961.7600000001,3217,4800,26,106,1,0,22470.0
721961.7600000001,3062,5400,19,114,0,1,22625.0
